,Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death,lat,lon
0,Hubei,China,20/2/1 23:33,9074,0,215,294,30.7378118,112.2384017
1,Zhejiang,China,20/2/2 02:13,661,0,23,0,29.1416432,119.7889248
2,Guangdong,China,20/2/2 01:23,604,0,14,0,23.3790333,113.7632828
3,Henan,China,20/2/2 00:53,493,0,4,2,34.2904302,113.3823545
4,Hunan,China,20/2/2 01:53,463,0,8,0,27.6252995,111.8568586
5,Anhui,China,20/2/2 01:33,340,0,5,0,30.6006773,117.9249002
6,Jiangxi,China,20/2/2 01:23,333,0,10,0,27.0874564,114.9042208
7,Chongqing,China,20/2/1 23:43,262,0,3,1,29.4315861,106.912251
8,Jiangsu,China,20/2/2 01:13,236,0,6,0,33.1401715,119.7889248
9,Sichuan,China,20/2/2 01:03,231,0,3,1,30.2638032,102.8054753
10,Shandong,China,20/2/2 01:03,225,0,5,0,35.8939566,117.9249002
11,Beijing,China,20/2/2 03:05,183,0,9,1,39.9041999,116.4073963
12,Shanghai,China,20/2/2 00:23,177,0,10,1,31.230416,121.473701
13,Fujian,China,20/2/2 03:43,159,0,0,0,26.4836842,117.9249002
14,Shaanxi,China,20/2/2 03:23,116,0,0,0,35.3939908,109.1880047
15,Guangxi,China,20/2/2 00:23,111,0,2,0,23.7247599,108.8076195
16,Hebei,China,20/2/2 02:53,104,0,3,1,37.8956594,114.9042208
17,Heilongjiang,China,20/2/2 03:23,95,0,2,2,47.1216472,128.738231
18,Yunnan,China,20/2/1 15:53,93,0,2,0,24.4752847,101.3431058
19,Liaoning,China,20/2/1 15:23,64,0,1,0,41.9436543,122.5290376
20,Hainan,China,20/2/2 01:03,63,0,1,1,19.5663947,109.949686
21,Shanxi,China,20/2/1 23:33,56,0,1,0,37.2425649,111.8568586
22,Tianjin,China,20/2/2 02:03,45,0,0,0,39.3433574,117.3616476
23,Gansu,China,20/2/1 15:43,40,0,0,0,35.7518326,104.2861116
24,Guizhou,China,20/2/2 01:03,38,0,2,0,26.8429645,107.2902839
25,Ningxia,China,20/2/2 01:43,28,0,0,0,37.198731,106.1580937
26,Inner Mongolia,China,20/2/2 03:43,27,0,1,0,43.37822,115.0594815
27,Jilin,China,20/2/2 02:33,23,0,1,0,43.1520105,126.4371385
28,Xinjiang,China,20/2/2 00:43,21,0,0,0,42.5246357,87.5395855
